State,State Code,drug,adj_rate_15,adj_rate_16,adj_rate_flag_15,adj_rate_flag_16,deaths_15,deaths_16,deaths_flag_15,deaths_flag_16,lower_int_15,lower_int_16,population_15,population_16,upper_int_15,upper_int_16,gt_100_deaths,nonoverlapping_intervals,zscore,sig,quality_reporting
Minnesota,27,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,5489594,5519952,,,False,False,,,True
Mississippi,28,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,2992333,2988726,,,False,False,,,False
Missouri,29,coc_fen,,0.61,Unreliable,,10.0,34.0,,,0.07,0.42,6083672,6093000,0.31,0.86,False,True,,1.0,True
Montana,30,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,1032949,1042520,,,False,False,,,False
Nebraska,31,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,1896190,1907116,,,False,False,,,False
Nevada,32,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,2890845,2940058,,,False,False,,,True
New Hampshire,33,coc_fen,3.26,4.25,,,38.0,51.0,,,2.29,3.13,1330608,1334795,4.52,5.64,False,False,1.318694902321404,0.0,True
New Jersey,34,coc_fen,0.47,1.96,,,43.0,170.0,,,0.34,1.66,8958013,8944469,0.64,2.26,False,True,9.045405171064225,1.0,False
New Mexico,35,coc_fen,,,Suppressed,Unreliable,,13.0,Suppressed,,,0.34,2085109,2081015,,1.08,False,False,,,True
New York,36,coc_fen,0.72,2.33,,,142.0,451.0,,,0.6,2.11,19795791,19745289,0.84,2.55,True,True,12.966854160853002,1.0,True
North Carolina,37,coc_fen,0.49,1.67,,,46.0,160.0,,,0.36,1.41,10042802,10146788,0.65,1.94,False,True,8.055460063065247,1.0,True
North Dakota,38,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,756927,757952,,,False,False,,,False
Ohio,39,coc_fen,2.32,5.52,,,253.0,602.0,,,2.03,5.06,11613423,11614373,2.61,5.97,True,True,12.316458218123541,1.0,True
Oklahoma,40,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,3911338,3923561,,,False,False,,,True
Oregon,41,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,4028977,4093465,,,False,False,,,True
Pennsylvania,42,coc_fen,0.5,2.25,,,61.0,270.0,,,0.38,1.98,12802503,12784227,0.65,2.53,False,True,11.938937954347386,1.0,False
Rhode Island,44,coc_fen,4.59,5.83,,,45.0,58.0,,,3.32,4.39,1056298,1056426,6.19,7.59,False,False,1.2485443052571654,0.0,True
South Carolina,45,coc_fen,0.42,0.83,,,21.0,37.0,,,0.26,0.58,4896146,4961119,0.65,1.14,False,False,2.571668790443904,0.0,True
South Dakota,46,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,858469,865454,,,False,False,,,False
Tennessee,47,coc_fen,0.62,1.06,,,38.0,67.0,,,0.44,0.82,6600299,6651194,0.86,1.36,False,False,2.761822403278826,0.0,True
Texas,48,coc_fen,,0.11,Suppressed,,,29.0,Suppressed,,,0.07,27469114,27862596,,0.17,False,False,,,True
Utah,49,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,2995919,3051217,,,False,False,,,True
Vermont,50,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,626042,624594,,,False,False,,,True
Virginia,51,coc_fen,0.42,1.6,,,34.0,130.0,,,0.29,1.32,8382993,8411808,0.58,1.88,False,True,7.604362054907062,1.0,True
Washington,53,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,7170351,7288000,,,False,False,,,True
West Virginia,54,coc_fen,1.77,3.91,,,28.0,65.0,,,1.16,3.0,1844128,1831102,2.57,5.01,False,True,3.851771003409723,1.0,True
Wisconsin,55,coc_fen,,0.73,Unreliable,,15.0,40.0,,,0.14,0.52,5771337,5778708,0.43,1.0,False,True,,1.0,True
Wyoming,56,coc_fen,,,Suppressed,Suppressed,,,Suppressed,Suppressed,,,586107,585501,,,False,False,,,False
